floorSize,price,address,website
2 bds2 ba800 sqft- Apartment for rent,"$2,425/mo","1620 Venice Blvd #107, Venice, CA 90291",https://www.zillow.com/homedetails/1620-Venice-Blvd-107-Venice-CA-90291/2067325315_zpid/
1 bd1 ba550 sqft- Apartment for rent,"$1,645/mo","827 S Berendo St, Los Angeles, CA 90005",https://www.zillow.com/homedetails/827-S-Berendo-St-Los-Angeles-CA-90005/2080485723_zpid/
1 bd1 ba700 sqft- Apartment for rent,"$1,795/mo","1325 Ingraham St APT 208, Los Angeles, CA 90017",https://www.zillow.com/homedetails/1325-Ingraham-St-APT-208-Los-Angeles-CA-90017/2085570346_zpid/
1 bd1 ba834 sqft- Apartment for rent,"$4,095+/mo","The Glendon, 1040 Glendon Ave, Los Angeles, CA 90024",https://www.zillow.com/homedetails/1040-Glendon-Ave-E8F837AE1-Los-Angeles-CA-90024/2065893103_zpid/
Studio1 ba300 sqft- Apartment for rent,"$1,700/mo","834 Laguna Ave #1/2, Los Angeles, CA 90026",https://www.zillow.com/homedetails/834-Laguna-Ave-1-2-Los-Angeles-CA-90026/2070539038_zpid/
"$3,180+ 1 bd$4,952+ 2 bds","$2,448+ Studio","The Camden | 1540 Vine St, Los Angeles, CA",/b/the-camden-hollywood-ca-5j3QQV/
1 bd1 ba550 sqft- Apartment for rent,"$2,500/mo","1913 Talmadge St #1/2, Los Angeles, CA 90027",https://www.zillow.com/homedetails/1913-Talmadge-St-1-2-Los-Angeles-CA-90027/2064155682_zpid/
"2 bds2 ba1,100 sqft- Apartment for rent","$2,995/mo","3742 Jasmine Ave #207, Los Angeles, CA 90034",https://www.zillow.com/homedetails/3742-Jasmine-Ave-207-Los-Angeles-CA-90034/2068516954_zpid/
,"$3,975+ 1 bd","Sunset Vine Tower | 1480 Vine St, Los Angeles, CA",/b/sunset-vine-tower-los-angeles-ca-5Xjx9Q/
"$2,616+ 1 bd$3,118+ 2 bds$4,821+ 3 bds","$2,440+ Studio","Trademark | 437 S Hill St, Los Angeles, CA",/b/trademark-los-angeles-ca-9TyMR6/
1 bd2 ba890 sqft- Apartment for rent,"$3,330/mo","1322 Wilshire Blvd FLOOR 4-ID716, Los Angeles, CA 90017",https://www.zillow.com/homedetails/1322-Wilshire-Blvd-FLOOR-4-ID716-Los-Angeles-CA-90017/2064158294_zpid/
1 bd1 ba650 sqft- Apartment for rent,"$3,000/mo","12607 Braddock Dr FLOOR 2-ID467, Los Angeles, CA 90066",https://www.zillow.com/homedetails/12607-Braddock-Dr-FLOOR-2-ID467-Los-Angeles-CA-90066/2068520865_zpid/
1 bd1 ba745 sqft- Apartment for rent,"$3,040/mo","613 S Bixel St FLOOR 7-ID27, Los Angeles, CA 90017",https://www.zillow.com/homedetails/613-S-Bixel-St-FLOOR-7-ID27-Los-Angeles-CA-90017/2072157427_zpid/
,"$3,271+ 2 bds","Lumina Hollywood | 1522 N Gordon St, Los Angeles, CA",/b/lumina-hollywood-los-angeles-ca-9hHbPF/
Studio1 ba500 sqft- Apartment for rent,"$1,650/mo","303 S Commonwealth Ave APT 204, Los Angeles, CA 90020",https://www.zillow.com/homedetails/303-S-Commonwealth-Ave-APT-204-Los-Angeles-CA-90020/2064158726_zpid/
"2 bds2 ba1,180 sqft- Apartment for rent","$4,590/mo","The Sunset Hue, 6630 W Sunset Blvd #403, Los Angeles, CA 90028",https://www.zillow.com/homedetails/6630-W-Sunset-Blvd-403-Los-Angeles-CA-90028/2066522508_zpid/
Studio1 ba400 sqft- Apartment for rent,"$1,300/mo","611 S Virgil Ave, Los Angeles, CA 90005",https://www.zillow.com/homedetails/611-S-Virgil-Ave-Los-Angeles-CA-90005/2093625828_zpid/
"$5,226+ 2 bds","$3,780+ 1 bd","ARQ | 3311 S La Cienega Blvd, Los Angeles, CA",/b/arq-los-angeles-ca-BPgHxZ/
"$3,486+ 2 bds","$2,347+ 1 bd","Blossom Plaza | 900 N Broadway, Los Angeles, CA",/b/blossom-plaza-los-angeles-ca-BnpHMV/
"$4,345+ 2 bds","$1,895+ 1 bd","R3 by CLG | 4091 Redwood Ave, Los Angeles, CA",/b/r3-by-clg-los-angeles-ca-9MNCmN/
,"$1,449+ Studio","The Gershwin | 5533 Hollywood Blvd, Hollywood, CA",/b/the-gershwin-hollywood-ca-5XkkMS/
1 bd1 ba-- sqft- Apartment for rent,"$2,250/mo","Mitchell Arms, 12133-12135 Mitchell Ave #35-347, Los Angeles, CA 90066",https://www.zillow.com/homedetails/12133-12135-Mitchell-Ave-35-347-Los-Angeles-CA-90066/2065474508_zpid/
2 bds2 ba-- sqft- Apartment for rent,"$3,009+/mo","Terrace Trousdale, 11400 National Blvd, Los Angeles, CA 90064",https://www.zillow.com/homedetails/11400-National-Blvd-80061497D-Los-Angeles-CA-90064/2066682125_zpid/
1 bd2 ba725 sqft- Apartment for rent,"$2,420/mo","Sunset Detroit Towers, 1420 N Detroit St APT 102, Los Angeles, CA 90046",https://www.zillow.com/homedetails/1420-N-Detroit-St-APT-102-Los-Angeles-CA-90046/2087780541_zpid/
2 bds1 ba750 sqft- Apartment for rent,"$2,450/mo","636 N Hill Pl #A215, Los Angeles, CA 90012",https://www.zillow.com/homedetails/636-N-Hill-Pl-A215-Los-Angeles-CA-90012/2064161154_zpid/
,"$2,895+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",/b/westwood-village-apartments-los-angeles-ca-5XkJC3/
"$2,820+ 1 bd$3,630+ 2 bds","$2,160+ Studio","sunset + vine | 1555 Vine St, Los Angeles, CA",/b/sunset-%2b-vine-los-angeles-ca-5XmNt5/
Studio1 ba602 sqft- Apartment for rent,"$2,165/mo","Club Marina Apartments, 12435 W Jefferson Blvd #217, Los Angeles, CA 90066",https://www.zillow.com/homedetails/12435-W-Jefferson-Blvd-217-Los-Angeles-CA-90066/2070166873_zpid/
"2 bds2 ba1,000 sqft- Apartment for rent","$2,950+/mo","Kenmore Towers, 615 S Kenmore Ave, Los Angeles, CA 90005",https://www.zillow.com/homedetails/615-S-Kenmore-Ave-74D5E26D2-Los-Angeles-CA-90005/2066761915_zpid/
"2 bds2 ba1,250 sqft- Apartment for rent","$3,850/mo","South Hayworth Lofts, 1520 S Hayworth Ave APT 104, Los Angeles, CA 90035",https://www.zillow.com/homedetails/1520-S-Hayworth-Ave-APT-104-Los-Angeles-CA-90035/2109735130_zpid/
,"$2,598+ 1 bd","1635 N Martel | 1635 N Martel Ave, Los Angeles, CA",/b/1635-n-martel-los-angeles-ca-5ZY64Y/
"$2,395+ 1 bd$3,350+ 2 bds","$2,125+ Studio","Woodcliff Apartments | 3201 Overland Ave, Los Angeles, CA",/b/woodcliff-apartments-los-angeles-ca-5Xk3qd/
"3 bds2.5 ba1,780 sqft- Apartment for rent","$5,275/mo","12020 Guerin St APT 101, Studio City, CA 91604",https://www.zillow.com/homedetails/12020-Guerin-St-APT-101-Studio-City-CA-91604/95666413_zpid/
1 bd1 ba500 sqft- Apartment for rent,"$2,250/mo","1-5026 Noble Ave #1, Sherman Oaks, CA 91403",https://www.zillow.com/homedetails/1-5026-Noble-Ave-1-Sherman-Oaks-CA-91403/2064162214_zpid/
1 bd1 ba659 sqft- Apartment for rent,"$2,850/mo","1249 South Bundy, 1249 S Bundy Dr APT 204, Los Angeles, CA 90025",https://www.zillow.com/homedetails/1249-S-Bundy-Dr-APT-204-Los-Angeles-CA-90025/2114441900_zpid/
1 bd1 ba769 sqft- Apartment for rent,"$2,870/mo","Windsor Lofts at Universal City, 4055 Lankershim Blvd APT 204, Studio City, CA 91604",https://www.zillow.com/homedetails/4055-Lankershim-Blvd-APT-204-Studio-City-CA-91604/2075907367_zpid/
Studio1 ba-- sqft- Apartment for rent,"$2,000+/mo","1857 N Wilton Pl, 1857 N Wilton Pl, Los Angeles, CA 90028",https://www.zillow.com/homedetails/1857-N-Wilton-Pl-F2E448907-Los-Angeles-CA-90028/2066759979_zpid/
2 bds2 ba950 sqft- Apartment for rent,"$3,425+/mo","1801 Federal, 1801 Federal Ave, Los Angeles, CA 90025",https://www.zillow.com/homedetails/1801-Federal-Ave-1060355-Los-Angeles-CA-90025/2065674480_zpid/
,"$1,800+ Studio","Common Edenhaus | 5750 Lexington Ave, Los Angeles, CA",/b/common-edenhaus-los-angeles-ca-9MM7Y2/
1 bd1 ba930 sqft- Apartment for rent,"$3,000/mo","901 S Flower St UNIT 403, Los Angeles, CA 90015",https://www.zillow.com/homedetails/901-S-Flower-St-UNIT-403-Los-Angeles-CA-90015/95598718_zpid/
1 bd1 ba600 sqft- Apartment for rent,"$2,295/mo","7259 Willoughby Ave APT 8, Los Angeles, CA 90046",https://www.zillow.com/homedetails/7259-Willoughby-Ave-APT-8-Los-Angeles-CA-90046/2093305051_zpid/
"2 bds2 ba1,000 sqft- Apartment for rent","$2,350/mo","950 Magnolia Ave #23, Los Angeles, CA 90006",https://www.zillow.com/homedetails/950-Magnolia-Ave-23-Los-Angeles-CA-90006/2064199173_zpid/
"2 bds2 ba1,060 sqft- Apartment for rent","$3,500/mo","3762 Hughes Ave APT 303, Los Angeles, CA 90034",https://www.zillow.com/homedetails/3762-Hughes-Ave-APT-303-Los-Angeles-CA-90034/20496373_zpid/
